445,184502
452,958156
-41,427336
445,184502
452,158156
-41,427336
445,184502
451,358156
-41,427336
445,184502
454,558156
-41,427336
445,184502
455,358156
-41,427336
443,987002
458,168915
-42,471000
443,864502
472,708156
-42,627336
443,864502
474,633156
-42,627336
445,214052
462,458156
-42,627336
445,184502
454,459906
-42,627336
445,184502
452,256406
-42,627336
445,214052
464,258156
-42,627336
445,214052
459,258156
-42,627336
445,214052
457,458156
-42,627336
445,184502
468,758156
-41,427336
445,184502
469,558156
-41,427336
445,184502
470,358156
-41,427336
445,184502
467,958156
-41,427336
445,184502
467,158156
-41,427336
445,184502
466,358156
-41,427336
445,184502
467,256406
-42,627336
445,184502
469,459906
-42,627336
258,437818
361,758156
-30,350000
258,437818
361,758156
-32,950000
258,437818
361,758156
-24,570000
258,437818
361,758156
-27,150000
258,437818
361,758156
-18,790000
258,437818
361,758156
-21,370000
258,437818
361,758156
-13,010000
258,437818
361,758156
-15,590000
284,062818
361,758156
-30,350000
284,062818
361,758156
-32,950000
284,062818
361,758156
-24,570000
284,062818
361,758156
-27,150000
284,062818
361,758156
-18,790000
284,062818
361,758156
-21,370000
284,062818
361,758156
-13,010000
284,062818
361,758156
-15,590000
258,437818
376,758156
-30,350000
258,437818
374,208156
-30,350000
258,437818
371,658156
-30,350000
258,437818
374,208156
-32,950000
258,437818
376,758156
-32,950000
258,437818
371,658156
-32,950000
258,437818
376,758156
-24,570000
258,437818
374,208156
-24,570000
258,437818
371,658156
-24,570000
258,437818
374,208156
-27,150000
258,437818
376,758156
-27,150000
258,437818
371,658156
-27,150000
258,437818
376,758156
-18,790000
258,437818
374,208156
-18,790000
258,437818
371,658156
-18,790000
258,437818
374,208156
-21,370000
258,437818
376,758156
-21,370000
258,437818
371,658156
-21,370000
258,437818
376,758156
-13,010000
258,437818
374,208156
-13,010000
258,437818
371,658156
-13,010000
258,437818
374,208156
-15,590000
258,437818
376,758156
-15,590000
258,437818
371,658156
-15,590000
284,062818
376,758156
-30,350000
284,062818
374,208156
-30,350000
284,062818
371,658156
-30,350000
284,062818
374,208156
-32,950000
284,062818
376,758156
-32,950000
284,062818
371,658156
-32,950000
284,062818
376,758156
-24,570000
284,062818
374,208156
-24,570000
284,062818
371,658156
-24,570000
284,062818
374,208156
-27,150000
284,062818
376,758156
-27,150000
284,062818
371,658156
-27,150000
284,062818
376,758156
-18,790000
284,062818
374,208156
-18,790000
284,062818
371,658156
-18,790000
284,062818
374,208156
-21,370000
284,062818
376,758156
-21,370000
284,062818
371,658156
-21,370000
284,062818
376,758156
-13,010000
284,062818
374,208156
-13,010000
284,062818
371,658156
-13,010000
284,062818
374,208156
-15,590000
284,062818
376,758156
-15,590000
284,062818
371,658156
-15,590000
258,437818
384,258156
-30,350000
258,437818
381,708156
-30,350000
258,437818
379,158156
-30,350000
258,437818
381,708156
-32,950000
258,437818
384,258156
-32,950000
258,437818
379,158156
-32,950000
258,437818
384,258156
-24,570000
258,437818
381,708156
-24,570000
258,437818
379,158156
-24,570000
258,437818
381,708156
-27,150000
258,437818
384,258156
-27,150000
258,437818
379,158156
-27,150000
258,437818
384,258156
-18,790000
